"Path","Exists"
"C:\Program Files (x86)\Windows Kits\10\Debuggers\x64\cdb.exe","True"
"C:\Program Files\WindowsApps\Microsoft.WinDbg_1.0.0.0_x64__8wekyb3d8bbwe\DbgX.Shell.exe","False"
