"FullName","Name","Length","LastWriteTime","Version"
"C:\Windows\System32\DriverStore\FileRepository\nvdmi.inf_amd64_7cd2769fc98323d6\amd_dpfc.sys","amd_dpfc.sys","47848","05/08/2026 3:02:28 PM","1.4.0.0"
"C:\Windows\System32\DriverStore\FileRepository\nvdmi.inf_amd64_7cd2769fc98323d6\NV_DISP.CAT","NV_DISP.CAT","5017801","05/08/2026 3:09:06 PM",
"C:\Windows\System32\DriverStore\FileRepository\nvdmi.inf_amd64_7cd2769fc98323d6\nvdmi.inf","nvdmi.inf","5775447","05/06/2026 6:16:22 AM",
"C:\Windows\System32\DriverStore\FileRepository\nvdmi.inf_amd64_7cd2769fc98323d6\nvlddmkm.sys","nvlddmkm.sys","105735912","05/08/2026 3:05:06 PM","32.0.15.9649"
