"FullName","Name","Length","LastWriteTime","Version"
"C:\Windows\System32\DriverStore\FileRepository\heci.inf_amd64_868307ee28d2b169\HECI.cat","HECI.cat","14780","10/07/2025 11:31:42 PM",
"C:\Windows\System32\DriverStore\FileRepository\heci.inf_amd64_868307ee28d2b169\heci.inf","heci.inf","15829","10/07/2025 11:09:26 PM",
"C:\Windows\System32\DriverStore\FileRepository\heci.inf_amd64_868307ee28d2b169\x64\TeeDriverW10x64.sys","TeeDriverW10x64.sys","327648","10/07/2025 11:31:42 PM","2540.8.7.0"
