"FullName","Name","Length","LastWriteTime","Version"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\ipfsvc.exe","ipfsvc.exe","660448","03/12/2026 2:48:14 PM","2.3.20301.5051"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\ipfumdf.dll","ipfumdf.dll","235488","03/12/2026 2:48:14 PM","2.3.20301.5051"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\msvcp140.dll","msvcp140.dll","576656","03/12/2026 2:48:14 PM","14.40.33810.0"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\vcruntime140_1.dll","vcruntime140_1.dll","49208","03/12/2026 2:48:16 PM","14.40.33810.0"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\vcruntime140.dll","vcruntime140.dll","120472","03/12/2026 2:48:16 PM","14.40.33810.0"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\configuration\ap.config","ap.config","2573","03/12/2026 1:59:46 PM",
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\configuration\apo.config","apo.config","25453","03/12/2026 1:59:46 PM",
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\configuration\dtt.config","dtt.config","3868","03/12/2026 1:59:46 PM",
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\configuration\epo.config","epo.config","24060","03/12/2026 1:59:46 PM",
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\configuration\itm.config","itm.config","1545","03/12/2026 1:59:46 PM",
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\configuration\itm3.config","itm3.config","3538","03/12/2026 1:59:46 PM",
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\configuration\oppboost.config","oppboost.config","367","03/12/2026 1:59:46 PM",
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\configuration\rfim.config","rfim.config","3914","03/12/2026 1:59:46 PM",
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\configuration\systemconfiguration.config","systemconfiguration.config","7565","03/12/2026 1:59:46 PM",
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\configuration\vs2.config","vs2.config","20181","03/12/2026 1:59:46 PM",
