"Path","Dirs","Files","MB"
"C:\tmp","9802","80185","2257.89"
"C:\Users\speci.000\Downloads","494","3387","15282.66"
"C:\Users\speci.000\Downloads\Papers","0","98","329.42"
"C:\Users\speci.000\Documents\NEXUS","54130","190190","12194.68"
